brand_id,user_id,c999_id_value
2,857751,769636
2,857726,769590
2,857719,769585
2,857411,769290
2,857408,769289
2,857350,769223
5,4000020809,271254
2,857260,769128
2,857132,769013
5,4000021795,768987
2,857073,768935
2,856982,768862
5,4000021719,768844
5,4000021664,139689
2,856861,768749
2,856839,349831
1,1967191033,768692
2,856551,768449
5,4000021460,768384
1,1967190764,768310
5,4000021394,233179
2,856369,768263
2,856256,768170
2,856246,768164
2,856219,768140
5,4000021079,767861
2,855907,767822
2,855556,767425
5,4000020744,767357
2,855429,767313
2,855423,767303
2,855294,767152
2,855152,767037
2,855148,767031
2,855146,767027
2,855130,766994
2,854957,766833
2,854922,766807
2,854871,766777
2,854777,766648
5,4000020247,217916
5,4000020232,766540
2,854647,766516
2,854464,766361
2,854445,766348
1,1967189362,766200
2,854295,766190
2,854205,766114
2,854181,766100
2,854132,766042
5,4000019880,73091
5,4000019879,765808
2,853866,765797
2,853570,765540
2,853463,765449
2,853343,765317
2,853125,765149
2,853111,765137
5,4000019580,765036
2,852710,764773
2,852629,527183
5,4000019388,23556
5,4000019345,764531
2,852407,764516
2,852382,764493
2,852332,764437
5,4000019289,764383
1,1967188234,764380
2,852227,764341
2,852058,763474
2,851772,763953
5,4000019102,304251
5,4000018988,763691
5,4000018896,763459
5,4000018799,763247
2,851022,763199
5,4000018761,763158
2,850854,763009
2,850817,762977
1,1967187258,762895
5,4000018623,762865
5,4000018590,155178
1,1967187108,762632
2,850397,762591
5,4000018489,762567
2,850024,762243
2,849980,762183
2,849958,762162
1,1967186741,761996
1,1967186737,761985
5,4000018232,761945
1,1967186666,761898
5,4000018173,761761
5,4000018157,761704
2,849465,761678
2,849265,761477
5,4000018055,255094
5,4000018011,761396
1,1967186308,761351
2,848955,761175
2,848826,761061
1,1967186118,692452
1,1967186022,760855
2,848511,760783
2,848152,760422
2,847901,760157
5,4000017418,717903
2,847739,759989
2,847724,759977
5,4000017309,759745
2,847043,759320
2,847002,759277
5,4000017091,759196
1,1967184922,759022
2,846739,759007
2,846639,758911
5,4000016944,758848
2,846524,758814
2,846491,758779
2,846481,758767
2,846479,758757
1,1967174430,758457
2,845839,758141
2,845592,749710
2,845542,749665
5,4000016466,749593
5,4000016417,270852
2,845380,749514
2,845297,749443
5,4000016349,364752
5,4000016345,749348
2,801764,749325
2,845005,749180
5,4000016217,741999
2,844756,748931
2,844680,748865
2,841690,748816
1,1967105141,748709
2,832987,748697
2,829587,748661
2,828676,748652
2,827566,748642
2,820144,748599
2,806965,748350
5,4000015924,748337
2,806925,748313
2,806901,748295
2,806889,748285
5,4000015877,627284
2,806649,748039
2,806570,664991
2,806337,747766
2,806015,747482
5,4000015539,747466
2,805959,747438
5,4000015523,747431
5,4000015505,247133
5,4000015498,547953
2,805697,747186
5,4000015407,747113
2,805599,747106
1,1967088690,746503
2,804917,746491
2,804837,746386
2,804517,746092
5,4000014955,746063
5,4000014932,746017
5,4000014875,362050
2,804237,745869
5,4000014790,745845
2,804019,745857
5,4000014739,745570
2,803887,745559
