brand_id,user_id,c999_id_value
5,4000040384,130448
5,4000040237,335559
2,888046,609683
5,4000039474,99527
5,4000038544,327362
5,4000036835,469700
2,882944,444804
2,881449,788706
2,880652,782877
2,877440,703136
2,876138,732843
2,874780,631726
5,4000032185,695467
2,870966,60503
2,868821,772666
2,867994,341263
5,4000028246,7910
5,4000027160,265680
5,4000026749,281501
5,4000026713,
5,4000026140,
5,4000026139,
5,4000025838,774527
5,4000025831,774507
5,4000025711,
5,4000025538,774113
2,863026,
2,862992,
5,4000025506,774043
2,862889,774002
5,4000025424,
2,862778,773918
5,4000025233,773622
5,4000025122,
1,1967194814,
2,862038,
5,4000024765,772923
2,861631,772919
2,861600,772895
5,4000024717,772875
2,861469,772784
2,861398,772737
2,861364,699667
5,4000024442,
5,4000024256,
5,4000024231,772242
2,860807,772224
5,4000024158,
2,860670,
5,4000024126,
5,4000024072,772026
2,860529,128477
5,4000023907,
5,4000023902,
5,4000023713,
2,859744,
2,859618,401779
2,859594,610458
5,4000023385,771114
5,4000023216,770890
2,859205,770878
2,859079,749503
5,4000023078,770726
5,4000022974,
2,858850,
2,858638,
5,4000022727,770299
2,858553,770280
2,858528,770251
5,4000022676,770231
5,4000022656,
2,858442,
5,4000022503,
5,4000022225,
2,857754,769641
5,4000022174,769584
2,857714,678126
1,1967191590,769518
5,4000022089,277728
2,857545,769443
2,857533,769425
2,857408,769289
2,857354,769232
2,857223,769100
5,4000021800,769001
2,857107,768993
2,857102,768986
2,857097,679161
2,856982,768862
2,856861,768749
2,856853,768740
2,856734,768598
5,4000021562,241810
2,856633,768522
2,856605,768504
5,4000021459,768381
5,4000021438,768343
5,4000021315,77597
1,1967190623,634131
5,4000021215,318482
2,856087,768022
5,4000021198,767993
2,855946,767849
2,855941,767846
2,855925,767833
2,855806,767679
5,4000020898,30965
2,855685,767560
5,4000020759,767377
2,855494,572415
5,4000020607,82340
2,854898,759420
5,4000020401,766784
5,4000020234,766544
2,854559,766443
2,854525,766415
5,4000020105,89214
2,854127,766033
5,4000019921,547410
2,853785,765706
2,853115,765141
5,4000019600,765105
2,853036,765057
5,4000019458,237821
5,4000019420,764708
2,852522,764626
2,852519,764623
2,852431,764535
2,852227,764341
5,4000019182,764101
1,1967187999,764045
5,4000019107,763963
2,851738,763921
2,851718,763876
5,4000019068,763865
5,4000019030,763755
2,851533,763700
5,4000018965,763633
5,4000018804,763256
2,851083,763254
5,4000018772,763196
2,851020,672392
2,850861,627627
2,850857,478295
1,1967187321,763002
2,850771,762933
2,850714,762894
2,850389,633604
5,4000018492,762579
2,850335,564842
2,849958,762162
5,4000018233,759577
2,849695,761917
5,4000018224,761904
2,849667,761891
2,849489,526280
2,849457,761673
2,849087,761317
2,849077,758669
2,848935,637766
5,4000017847,760981
2,848556,760818
5,4000017728,760740
5,4000017619,704611
5,4000017588,760394
5,4000017583,760373
5,4000017581,760364
5,4000017570,164134
5,4000017530,338753
2,848013,760251
2,847925,760183
5,4000017323,759779
2,847326,759581
2,847184,748672
2,847103,759380
2,847085,759372
2,847015,759289
2,846929,759206
5,4000017091,759196
5,4000017022,758995
2,846486,758772
2,846481,758767
1,1967174430,758457
2,846172,758449
2,845727,758018
2,845661,757972
5,4000016515,749686
2,845550,749683
2,844824,748991
2,844809,738003
2,844798,748971
2,844726,748900
2,841690,748816
5,4000016063,746902
2,823665,748621
5,4000016031,748600
2,818544,630969
2,812282,748426
2,806952,748340
5,4000015918,144615
5,4000015780,484479
5,4000015645,747730
5,4000015606,747609
2,806111,677862
5,4000015446,747197
2,805657,747144
5,4000015399,747092
2,805580,737516
2,805473,746982
2,805457,746970
2,805427,746940
5,4000015303,746854
2,805233,746767
5,4000015223,230444
5,4000015160,746506
5,4000015006,746223
2,804612,746200
5,4000014947,746052
5,4000014898,88783
5,4000014884,745900
2,804267,745898
2,803983,745646
5,4000014762,745636
2,803745,745425
2,803622,745327
2,803541,532350
2,803517,745228
2,803481,745198
2,803405,745149
5,4000014490,94573
2,802780,744622
5,4000014395,744507
5,4000014357,744392
1,1967087571,744312
2,802175,744089
5,4000014208,743815
5,4000014195,743769
5,4000014133,743573
5,4000014132,743560
2,801389,743323
5,4000014026,269503
2,801210,513250
2,801194,743119
2,801193,743118
2,801120,743045
5,4000013973,742958
5,4000013952,365310
2,800947,664578
5,4000013903,742773
5,4000013883,742713
2,800714,629129
2,800460,742491
2,800445,742456
5,4000013778,742372
1,1967086658,688397
