id,config_name,config_tag,config_value,OLD config_value Mar)
178,monthly-week1,mails,"2,9,16,23,25,30","5,7,12,14,19,21,26,28"
179,bonus-mail,mails,,
180,monthly-week2,mails,,
181,monthly-week3-wednesday,mails,,
182,monthly-week3,mails,,
183,no-deposit-weekly,mails,,
188,no-deposit-weekly-2,mails,,
208,inactive-cash-balance,mails,27,30
256,monthly-week2-betsoft,mails,,
259,monthly-week2-microgaming,mails,,
262,monthly-week2-playngo,mails,,
265,monthly-week2-wms,mails,,
268,monthly-week2-ygg,mails,,
272,monthly-week2-quickspin,mails,,
366,no-deposit-freeroll,mails,,
367,deposit-freeroll,mails,,
411,nodeposit-newbonusoffers-mail-1,mails,,
412,nodeposit-newbonusoffers-mail-2,mails,,
413,nodeposit-newbonusoffers-mail-3,mails,,
414,nodeposit-newbonusoffers-mail-4,mails,,
415,nodeposit-newbonusoffers-mail-5,mails,,
416,nodeposit-newbonusoffers-mail-6,mails,,
417,nodeposit-newbonusoffers-mail-7,mails,,
418,nodeposit-newbonusoffers-mail-8,mails,,
419,nodeposit-newbonusoffers-mail-9,mails,,
420,nodeposit-newbonusoffers-mail-10,mails,,
421,nodeposit-newbonusoffers-mail-11,mails,,
422,nodeposit-newbonusoffers-mail-12,mails,,
423,nodeposit-newbonusoffers-mail-13,mails,,
424,nodeposit-newbonusoffers-mail-14,mails,,
425,nodeposit-newbonusoffers-mail-15,mails,,
889,sms-monthly-week2,mails,,
890,deposit-newbonusoffers-mail-1,mails,,
891,deposit-newbonusoffers-mail-2,mails,,
892,deposit-newbonusoffers-mail-3,mails,,
893,deposit-newbonusoffers-mail-4,mails,,
894,deposit-newbonusoffers-mail-5,mails,,
895,deposit-newbonusoffers-mail-6,mails,,
896,deposit-newbonusoffers-mail-7,mails,,
897,deposit-newbonusoffers-mail-8,mails,,
898,deposit-newbonusoffers-mail-9,mails,,
899,deposit-newbonusoffers-mail-10,mails,,
917,deposit-newbonusoffers-mail-11,mails,,
918,deposit-newbonusoffers-mail-12,mails,,
919,deposit-newbonusoffers-mail-13,mails,,
920,deposit-newbonusoffers-mail-14,mails,,
921,deposit-newbonusoffers-mail-15,mails,,
1202,welcome.mrvegas,mails,,
