id,config_name,config_tag,config_value,OLD config_value (Mar)
178,monthly-week1,mails,"8,14,18, 21,22,25,28,29","3,4,7,10,11,14,17,18,21,24,25,28,31"
179,bonus-mail,mails,30,26
180,monthly-week2,mails,,
181,monthly-week3-wednesday,mails,,
182,monthly-week3,mails,,
183,no-deposit-weekly,mails,"1,8,15,22,29","4,11,18,25"
188,no-deposit-weekly-2,mails,,
208,inactive-cash-balance,mails,27,30
256,monthly-week2-betsoft,mails,,
259,monthly-week2-microgaming,mails,,
262,monthly-week2-playngo,mails,,
265,monthly-week2-wms,mails,,
268,monthly-week2-ygg,mails,,
272,monthly-week2-quickspin,mails,,
366,no-deposit-freeroll,mails,,
367,deposit-freeroll,mails,20,16
411,nodeposit-newbonusoffers-mail-1,mails,12,"6,29"
412,nodeposit-newbonusoffers-mail-2,mails,"3,19",22
413,nodeposit-newbonusoffers-mail-3,mails,5,15
414,nodeposit-newbonusoffers-mail-4,mails,"10,26",8
415,nodeposit-newbonusoffers-mail-5,mails,24,"1,27"
416,nodeposit-newbonusoffers-mail-6,mails,"1,17","4,13"
417,nodeposit-newbonusoffers-mail-7,mails,8,11
418,nodeposit-newbonusoffers-mail-8,mails,,
419,nodeposit-newbonusoffers-mail-9,mails,,
420,nodeposit-newbonusoffers-mail-10,mails,15,18
421,nodeposit-newbonusoffers-mail-11,mails,,
422,nodeposit-newbonusoffers-mail-12,mails,,
423,nodeposit-newbonusoffers-mail-13,mails,22,25
424,nodeposit-newbonusoffers-mail-14,mails,29,20
425,nodeposit-newbonusoffers-mail-15,mails,,
889,sms-monthly-week2,mails,,
890,deposit-newbonusoffers-mail-1,mails,,21
891,deposit-newbonusoffers-mail-2,mails,18,
892,deposit-newbonusoffers-mail-3,mails,4,28
893,deposit-newbonusoffers-mail-4,mails,,
894,deposit-newbonusoffers-mail-5,mails,,
895,deposit-newbonusoffers-mail-6,mails,,
896,deposit-newbonusoffers-mail-7,mails,25,14
897,deposit-newbonusoffers-mail-8,mails,,
898,deposit-newbonusoffers-mail-9,mails,,
899,deposit-newbonusoffers-mail-10,mails,,
917,deposit-newbonusoffers-mail-11,mails,,
918,deposit-newbonusoffers-mail-12,mails,,
919,deposit-newbonusoffers-mail-13,mails,,7
920,deposit-newbonusoffers-mail-14,mails,11,
921,deposit-newbonusoffers-mail-15,mails,,
1202,welcome.mrvegas,mails,"2,9,16,23,30","5,12,19,26"
93375,29daydeposit-newbonusoffers-mail-1,mails,,
93376,29daydeposit-newbonusoffers-mail-2,mails,,
93377,29daydeposit-newbonusoffers-mail-3,mails,,
93378,29daydeposit-newbonusoffers-mail-4,mails,17,
93379,29daydeposit-newbonusoffers-mail-5,mails,,
93380,29daydeposit-newbonusoffers-mail-6,mails,,
93381,29daydeposit-newbonusoffers-mail-7,mails,,
93382,29daydeposit-newbonusoffers-mail-8,mails,,
93383,29daydeposit-newbonusoffers-mail-9,mails,,
93384,29daydeposit-newbonusoffers-mail-10,mails,,
93385,29daydeposit-newbonusoffers-mail-11,mails,,
93386,29daydeposit-newbonusoffers-mail-12,mails,,
93387,29daydeposit-newbonusoffers-mail-13,mails,3,
93388,29daydeposit-newbonusoffers-mail-14,mails,,20
93389,29daydeposit-newbonusoffers-mail-15,mails,,6
