id,game_name,operator,network
2170,Winner’s Scratch,ELK,nyx
2654,The Lab RETIRED,ELK,nyx
2655,The Lab RETIRED,ELK,nyx
2688,Electric Sam,ELK,nyx
2689,Electric Sam ,ELK,nyx
3474,Taco Brothers,ELK,nyx
3475,Taco Brothers,ELK,nyx
3814,DJ Wild,ELK,nyx
3815,DJ Wild,ELK,nyx
3996,Bloopers,ELK,nyx
3997,Bloopers,ELK,nyx
4129,Poltava Flames of War,ELK,nyx
4130,Poltava Flames of War,ELK,nyx
4967,Wild Toro,ELK,nyx
4968,Wild Toro,ELK,nyx
5043,Taco Brothers Saving Christmas,ELK,nyx
5044,Taco Brothers Saving Christmas,ELK,nyx
5233,Sam on the Beach,ELK,nyx
5234,Sam on the Beach,ELK,nyx
5469,Hong Kong Tower,ELK,nyx
5470,Hong Kong Tower,ELK,nyx
5599,Ivanhoe,ELK,nyx
5600,Ivanhoe,ELK,nyx
6249,Hidden,ELK,nyx
6250,Hidden,ELK,nyx
6446,Route 777,ELK,nyx
6447,Route 777,ELK,nyx
6471,Ho Ho Tower,ELK,nyx
6472,Ho Ho Tower,ELK,nyx
6680,Wild Seas,ELK,nyx
6681,Wild Seas,ELK,nyx
6834,Kaiju,ELK,nyx
6835,Kaiju,ELK,nyx
39378002,Lake's Five,ELK,nyx
39378003,Lake's Five,ELK,nyx
39378295,Birthday,ELK,nyx
39378296,Birthday,ELK,nyx
39378546,Platooners,ELK,nyx
39378547,Platooners,ELK,nyx
39379025,Joker Gems,ELK,nyx
39379026,Joker Gems,ELK,nyx
39380343,Vegas Diamonds,ELK,nyx
39380344,Vegas Diamonds,ELK,nyx
39380462,Valkyrie,ELK,nyx
39380463,Valkyrie,ELK,nyx
39380596,The Wiz,ELK,nyx
39380597,The Wiz,ELK,nyx
39380789,Ecuador Gold,ELK,nyx
39380790,Ecuador Gold,ELK,nyx
39381078,Hit it Big,ELK,nyx
39381079,Hit it Big,ELK,nyx
39381344,Chi,ELK,nyx
39381345,Chi,ELK,nyx
39381556,Tahiti Gold,ELK,nyx
39381557,Tahiti Gold,ELK,nyx
39381962,Respin Circus,ELK,nyx
39381963,Respin Circus,ELK,nyx
39382263,Win Win,ELK,nyx
39382264,Win Win,ELK,nyx
39382781,Voodoo Gold,ELK,nyx
