tag,group_id
account.admin,84
account.view.cellphone,84
account.view.email,84
accounting.section,84
accounting.section.transaction-history,84
accounting.section.transaction-history.download.csv,84
admin,84
admin.payments,84
admin.payments.pending-deposits,84
admin.payments.pending.deposits,84
admin.translate.deepl,84
admin_top,84
aml.grs.score.report,84
edit.account.comments.mlro,84
edit.account.comments.sar,84
fraud.fraud.section.check-similarity,84
fraud.fraud.section.similar-account,84
fraud.section,84
fraud.section.aml-monitoring,84
fraud.section.big-depositors,84
fraud.section.big-losers,84
fraud.section.big-winners,84
fraud.section.fraud-aml-monitoring,84
fraud.section.goaml,84
fraud.section.remove.flag.manual,84
fraud.section.remove.flag.permanently,84
fraud.section.similar-account,84
fraud.section.user-risk-score,84
liability-fraud-flag,84
menuer.bank-pending,84
menuer.check-similarity,84
menuer.deposit-stats,84
menuer.list-documents,84
menuer.pending-withdrawals,84
menuer.transfers,84
menuer.user-actions,84
menuer.user-actions-simple,84
menuer.users,84
pager.page.182,84
pager.page.211,84
pager.page.296,84
pager.page.446,84
rg.grs.risk.report,84
rg.section,84
rg.section.cancellation-of-withdrawals,84
rg.section.change-deposit-pattern,84
rg.section.change-playing-pattern,84
rg.section.extended-game-play,84
rg.section.frequent-account-closing-opening,84
rg.section.frequent-game-play,84
rg.section.high-wager-bet-spin,84
rg.section.interactions,84
rg.section.limit-changes,84
rg.section.multiple-changes-rg-limits,84
rg.section.self-exclusion,84
show.balances,84
show.follow.up.box,84
show.follow.up.box.aml,84
show.follow.up.box.rg,84
stats.all,84
stats.country.all,84
upload.idpic,84
user.account.flag.manual.aml61,84
user.battles,84
user.battles.betswins,84
user.deposit.block,84
user.disable.deposit.methods,84
user.edit.follow.up,84
user.force-password-change-on-login,84
user.fraud-aml-monitoring,84
user.fraud-grs-report,84
user.fraud-monitoring,84
user.id3global-result,84
user.inout.defaults,84
user.liability.report.download.csv,84
user.liability.transactions.download.csv,84
user.personal-details.show.all.button,84
user.play.block,84
user.responsible-gaming-monitoring,84
user.risk-score,84
user.section.grsScore,84
user.verify.email,84
user.withdraw.block,84
users.follow.up.report,84
users.force.limits.report,84
users.list.sourceoffunds,84
users.monitored.accounts.report,84
users.monitoring.log.report,84
users.risk.score.report,84
users.section,84
view.account.account-history,84
view.account.actions,84
view.account.betswins,84
view.account.betswins.download.csv,84
view.account.comments.hidden,84
view.account.comments.mlro,84
view.account.comments.sar,84
view.account.documents,84
view.account.game-history,84
view.account.game-sessions,84
view.account.limits,84
view.actions,84
view.bets-and-wins,84
view.game-stats,84
view.gamesessions,84
view.gaminglimits,84
settings.section,84
permission.edit.55,84
permission.view.55,84
