Script start time: '2025-04-30 12:57:14'
```shell
Starting migration from users_settings to users_privacy_settings...
Found 10 shards. Processing each shard...
Processing shard #0...
Fetching settings that need to be migrated...
Processed 1000 records, Migrated: 27, Skipped: 973...
Processed 2000 records, Migrated: 327, Skipped: 1673...
Processed 3000 records, Migrated: 656, Skipped: 2344...
Processed 4000 records, Migrated: 967, Skipped: 3033...
Processed 5000 records, Migrated: 1395, Skipped: 3605...
Processed 6000 records, Migrated: 1780, Skipped: 4220...
Processed 7000 records, Migrated: 2160, Skipped: 4840...
Processed 8000 records, Migrated: 2512, Skipped: 5488...
Processed 9000 records, Migrated: 2856, Skipped: 6144...
Processed 10000 records, Migrated: 3233, Skipped: 6767...
Processed 11000 records, Migrated: 3532, Skipped: 7468...
Processed 12000 records, Migrated: 3923, Skipped: 8077...
Processed 13000 records, Migrated: 4188, Skipped: 8812...
Processed 14000 records, Migrated: 4520, Skipped: 9480...
Processed 15000 records, Migrated: 4862, Skipped: 10138...
Processed 16000 records, Migrated: 5182, Skipped: 10818...
Processed 17000 records, Migrated: 5539, Skipped: 11461...
Processed 18000 records, Migrated: 5835, Skipped: 12165...
Processed 19000 records, Migrated: 6181, Skipped: 12819...
Processed 20000 records, Migrated: 6520, Skipped: 13480...
Processed 21000 records, Migrated: 6837, Skipped: 14163...
Processed 22000 records, Migrated: 7147, Skipped: 14853...
Processed 23000 records, Migrated: 7436, Skipped: 15564...
Processed 24000 records, Migrated: 7768, Skipped: 16232...
Processed 25000 records, Migrated: 8089, Skipped: 16911...
Processed 26000 records, Migrated: 8398, Skipped: 17602...
Processed 27000 records, Migrated: 8662, Skipped: 18338...
Processed 28000 records, Migrated: 8963, Skipped: 19037...
Processed 29000 records, Migrated: 9278, Skipped: 19722...
Processed 30000 records, Migrated: 9593, Skipped: 20407...
Processed 31000 records, Migrated: 9882, Skipped: 21118...
Processed 32000 records, Migrated: 10188, Skipped: 21812...
Processed 33000 records, Migrated: 10502, Skipped: 22498...
Processed 34000 records, Migrated: 10812, Skipped: 23188...
Processed 35000 records, Migrated: 11090, Skipped: 23910...
Processed 36000 records, Migrated: 11369, Skipped: 24631...
Processed 37000 records, Migrated: 11661, Skipped: 25339...
Processed 38000 records, Migrated: 11886, Skipped: 26114...
Processed 39000 records, Migrated: 12094, Skipped: 26906...
Processed 40000 records, Migrated: 12303, Skipped: 27697...
